2023-12-20 00:12:50.551 Środkowoeuropejski czas stand. | INFO      Scrapping page: 2
2023-12-20 00:12:51.483 Środkowoeuropejski czas stand. | INFO      Found 13 links
2023-12-20 00:12:56.617 Środkowoeuropejski czas stand. | INFO      End Scrapping model: abarth
2023-12-20 00:12:56.618 Środkowoeuropejski czas stand. | INFO      Combining data...
2023-12-20 00:12:56.658 Środkowoeuropejski czas stand. | INFO      Combined data saved to car.csv
2023-12-20 00:14:25.860 Środkowoeuropejski czas stand. | INFO      Start scrapping model: abarth
2023-12-20 00:14:26.872 Środkowoeuropejski czas stand. | INFO      Model has: 2 subpages
2023-12-20 00:14:26.876 Środkowoeuropejski czas stand. | INFO      Scrapping page: 1
2023-12-20 00:14:27.771 Środkowoeuropejski czas stand. | INFO      Found 32 links
2023-12-20 00:14:38.048 Środkowoeuropejski czas stand. | INFO      Scrapping page: 2
2023-12-20 00:14:38.929 Środkowoeuropejski czas stand. | INFO      Found 13 links
2023-12-20 00:14:44.369 Środkowoeuropejski czas stand. | INFO      End Scrapping model: abarth
2023-12-20 00:14:44.370 Środkowoeuropejski czas stand. | INFO      Combining data...
2023-12-20 00:14:44.407 Środkowoeuropejski czas stand. | INFO      Combined data saved to car.csv
2023-12-20 00:17:59.540 Środkowoeuropejski czas stand. | INFO      Start scrapping model: abarth
2023-12-20 00:18:00.627 Środkowoeuropejski czas stand. | INFO      Model has: 2 subpages
2023-12-20 00:18:00.631 Środkowoeuropejski czas stand. | INFO      Scrapping page: 1
2023-12-20 00:18:01.936 Środkowoeuropejski czas stand. | INFO      Found 32 links
2023-12-20 00:18:13.023 Środkowoeuropejski czas stand. | INFO      Scrapping page: 2
2023-12-20 00:18:13.907 Środkowoeuropejski czas stand. | INFO      Found 13 links
2023-12-20 00:18:19.561 Środkowoeuropejski czas stand. | INFO      End Scrapping model: abarth
2023-12-20 00:18:19.563 Środkowoeuropejski czas stand. | INFO      Combining data...
2023-12-20 00:18:19.613 Środkowoeuropejski czas stand. | INFO      Combined data saved to C:\Users\Mikołaj\Desktop\otomoto-scraper\output\data\lamborghini.csv
2023-12-20 10:11:36.686 Środkowoeuropejski czas stand. | INFO      Start scrapping model: abarth
2023-12-20 10:11:38.036 Środkowoeuropejski czas stand. | INFO      Model has: 2 subpages
2023-12-20 10:11:38.044 Środkowoeuropejski czas stand. | INFO      Scrapping page: 1
2023-12-20 10:11:39.198 Środkowoeuropejski czas stand. | INFO      Found 32 links
2023-12-20 10:11:45.439 Środkowoeuropejski czas stand. | INFO      Scrapping page: 2
2023-12-20 10:11:46.367 Środkowoeuropejski czas stand. | INFO      Found 13 links
2023-12-20 10:11:49.269 Środkowoeuropejski czas stand. | INFO      End Scrapping model: abarth
2023-12-20 10:11:49.271 Środkowoeuropejski czas stand. | INFO      Combining data...
2023-12-20 10:12:22.813 Środkowoeuropejski czas stand. | INFO      Combining data...
2023-12-20 10:13:41.694 Środkowoeuropejski czas stand. | INFO      Combining data...
2023-12-20 10:13:41.763 Środkowoeuropejski czas stand. | INFO      Combined data saved to C:\Users\Mikołaj\Desktop\otomoto-scraper\output\data\combined.csv
2023-12-20 10:15:33.672 Środkowoeuropejski czas stand. | INFO      Start scrapping model: abarth
2023-12-20 10:15:34.791 Środkowoeuropejski czas stand. | INFO      Model has: 2 subpages
2023-12-20 10:15:34.795 Środkowoeuropejski czas stand. | INFO      Scrapping page: 1
2023-12-20 10:15:35.783 Środkowoeuropejski czas stand. | INFO      Found 32 links
2023-12-20 10:15:42.228 Środkowoeuropejski czas stand. | INFO      Scrapping page: 2
2023-12-20 10:15:43.273 Środkowoeuropejski czas stand. | INFO      Found 13 links
2023-12-20 10:15:46.379 Środkowoeuropejski czas stand. | INFO      End Scrapping model: abarth
2023-12-20 10:15:54.216 Środkowoeuropejski czas stand. | INFO      Start scrapping model: abarth
2023-12-20 10:15:55.202 Środkowoeuropejski czas stand. | INFO      Model has: 2 subpages
2023-12-20 10:15:55.206 Środkowoeuropejski czas stand. | INFO      Scrapping page: 1
2023-12-20 10:15:56.621 Środkowoeuropejski czas stand. | INFO      Found 32 links
2023-12-20 10:15:57.729 Środkowoeuropejski czas stand. | INFO      Could not retrieve data from https://www.otomoto.pl/osobowe/oferta/abarth-595-kabrio-2019r-1-4-165km-manual-lift-nawigacja-klimatronik-bezoweskory-ID6FUTtz.html.
